iter	Passed	Remaining
567	9710	7385
568	9726	7367
569	9742	7349
570	9757	7330
571	9774	7313
572	9791	7296
573	9810	7281
574	9831	7266
575	9853	7253
576	9878	7241
577	9897	7225
578	9913	7208
579	9928	7189
580	9943	7171
581	9959	7153
582	9979	7138
583	9996	7120
584	10010	7101
585	10024	7082
586	10040	7064
587	10056	7046
588	10071	7027
589	10088	7010
590	10104	6992
591	10122	6976
592	10135	6956
593	10151	6938
594	10172	6923
595	10188	6906
596	10201	6886
597	10215	6867
598	10230	6848
599	10244	6829
600	10259	6811
601	10273	6791
602	10285	6771
603	10298	6751
604	10312	6733
605	10324	6712
606	10338	6693
607	10351	6673
608	10365	6655
609	10377	6635
610	10393	6617
611	10409	6599
612	10423	6580
613	10438	6562
614	10453	6543
615	10467	6525
616	10482	6506
617	10543	6517
618	10562	6501
619	10577	6483
620	10592	6464
621	10608	6446
622	10622	6428
623	10637	6410
624	10654	6392
625	10669	6374
626	10685	6356
627	10701	6338
628	10728	6327
629	10743	6309
630	10757	6290
631	10773	6273
632	10790	6256
633	10814	6243
634	10831	6225
635	10846	6207
636	10863	6190
637	10882	6174
638	10898	6157
639	10914	6139
640	10931	6122
641	10948	6104
642	10962	6086
643	10977	6068
644	10990	6049
645	11003	6029
646	11017	6011
647	11032	5992
648	11048	5975
649	11062	5956
650	11076	5938
651	11091	5919
652	11105	5901
653	11120	5883
654	11134	5864
655	11148	5846
656	11163	5827
657	11177	5809
658	11191	5790
659	11204	5772
660	11219	5754
661	11235	5736
662	11251	5719
663	11280	5708
664	11311	5698
665	11337	5685
666	11364	5673
667	11393	5662
668	11421	5650
669	11446	5637
670	11471	5624
671	11496	5611
672	11521	5597
673	11544	5583
674	11568	5570
675	11589	5554
676	11609	5538
677	11628	5522
678	11644	5504
679	11661	5487
680	11676	5469
681	11692	5451
682	11714	5436
683	11734	5421
684	11749	5403
685	11764	5385
686	11780	5367
687	11796	5349
688	11811	5331
689	11826	5313
690	11841	5295
691	11856	5277
692	11872	5259
693	11887	5241
694	11902	5223
695	11917	5205
696	11931	5187
697	11946	5168
698	11961	5150
699	11980	5134
700	12000	5118
701	12015	5100
702	12030	5082
703	12048	5065
704	12066	5049
705	12083	5031
706	12100	5014
707	12117	4997
708	12134	4980
709	12150	4962
710	12169	4946
711	12192	4931
712	12221	4919
713	12256	4909
714	12300	4903
715	12333	4891
716	12436	4908
717	12470	4897
718	12497	4884
719	12521	4869
720	12547	4855
721	12571	4840
722	12594	4825
723	12617	4810
724	12640	4794
725	12664	4779
726	12686	4764
727	12714	4750
728	12744	4737
729	12781	4727
730	12810	4713
731	12833	4698
732	12854	4682
733	12874	4665
734	12893	4648
735	12912	4631
736	12930	4614
737	12948	4597
738	12965	4579
739	12984	4562
740	13004	4545
741	13023	4528
742	13043	4511
743	13069	4497
744	13101	4484
745	13137	4473
746	13163	4458
747	13183	4441
748	13205	4425
749	13225	4408
750	13250	4393
751	13272	4377
752	13291	4359
753	13310	4342
754	13329	4325
755	13347	4307
756	13366	4290
757	13391	4275
758	13413	4259
759	13434	4242
760	13455	4225
761	13484	4211
762	13512	4197
763	13537	4181
764	13568	4168
765	13586	4150
766	13603	4132
767	13622	4115
768	13644	4098
769	13662	4080
770	13679	4063
771	13697	4045
772	13715	4027
773	13732	4009
774	13753	3992
775	13769	3974
776	13787	3957
777	13807	3939
778	13826	3922
779	13854	3907
780	13883	3892
781	13918	3879
782	13950	3866
783	13981	3852
784	14009	3836
785	14031	3820
786	14052	3803
787	14078	3787
788	14101	3771
789	14126	3755
790	14149	3738
791	14173	3722
792	14196	3705
793	14221	3689
794	14247	3673
795	14263	3655
796	14280	3637
797	14297	3619
798	14313	3600
799	14328	3582
800	14343	3563
801	14357	3544
802	14373	3526
803	14387	3507
804	14401	3488
805	14416	3469
806	14431	3451
807	14446	3432
808	14462	3414
809	14478	3396
810	14493	3377
811	14507	3358
812	14521	3340
813	14536	3321
814	14554	3303
815	14572	3285
816	14592	3268
817	14609	3250
818	14627	3232
819	14645	3214
820	14663	3196
821	14680	3178
822	14695	3160
823	14715	3143
824	14732	3125
825	14750	3107
826	14769	3089
827	14787	3071
828	14806	3054
829	14826	3036
830	14849	3019
831	14866	3001
832	14884	2984
833	14902	2966
834	14922	2948
835	14940	2930
836	14960	2913
837	14977	2895
838	14994	2877
839	15012	2859
840	15028	2841
841	15044	2823
842	15063	2805
843	15079	2787
844	15095	2768
845	15111	2750
846	15126	2732
847	15142	2714
848	15157	2695
849	15172	2677
850	15187	2659
851	15202	2640
852	15218	2622
853	15236	2604
854	15251	2586
855	15266	2568
856	15283	2550
857	15298	2531
858	15314	2513
859	15329	2495
860	15344	2477
861	15361	2459
862	15377	2441
863	15393	2423
864	15411	2405
865	15428	2387
866	15446	2369
867	15463	2351
868	15480	2333
869	15498	2315
870	15514	2297
871	15530	2279
872	15546	2261
873	15561	2243
874	15577	2225
875	15593	2207
876	15610	2189
877	15630	2171
878	15651	2154
879	15667	2136
880	15682	2118
881	15697	2100
882	15716	2082
883	15731	2064
884	15748	2046
885	15764	2028
886	15779	2010
887	15794	1992
888	15814	1974
889	15831	1956
890	15848	1938
891	15867	1921
892	15884	1903
893	15900	1885
894	15915	1867
895	15930	1849
896	15945	1831
897	15961	1813
898	15986	1796
899	16001	1777
900	16017	1760
901	16033	1741
902	16048	1723
903	16063	1705
904	16080	1687
905	16098	1670
906	16114	1652
907	16130	1634
908	16146	1616
909	16161	1598
910	16177	1580
911	16193	1562
912	16209	1544
913	16224	1526
914	16241	1508
915	16255	1490
916	16271	1472
917	16286	1454
918	16301	1436
919	16316	1418
920	16330	1400
921	16346	1382
922	16362	1365
923	16377	1347
924	16392	1329
925	16407	1311
926	16422	1293
927	16437	1275
928	16454	1257
929	16469	1239
930	16485	1221
931	16502	1204
932	16517	1186
933	16534	1168
934	16550	1150
935	16565	1132
936	16582	1114
937	16600	1097
938	16619	1079
939	16638	1062
940	16655	1044
941	16674	1026
942	16693	1009
943	16710	991
944	16729	973
945	16747	955
946	16764	938
947	16781	920
948	16801	902
949	16817	885
950	16835	867
951	16852	849
952	16871	832
953	16890	814
954	16908	796
955	16925	779
956	16942	761
957	16959	743
958	16977	725
959	16994	708
960	17011	690
961	17028	672
962	17044	654
963	17060	637
964	17077	619
965	17092	601
966	17110	583
967	17126	566
968	17143	548
969	17162	530
970	17184	513
971	17202	495
972	17221	477
973	17238	460
974	17254	442
975	17270	424
976	17286	406
977	17302	389
978	17318	371
979	17333	353
980	17350	336
981	17365	318
982	17382	300
983	17398	282
984	17413	265
985	17428	247
986	17446	229
987	17462	212
988	17477	194
989	17497	176
990	17516	159
991	17533	141
992	17550	123
993	17567	106
994	17585	88
995	17600	70
996	17617	53
997	17631	35
998	17645	17
999	17659	0
